AccessCategoryID,CustomerID,AccessDate,CategoryVisited,Duration,DeviceType,BrowserType,IPAddress,ReferrerURL,SessionID,PagesViewed
1,46,2023-11-28,Checkout,116,Tablet,Chrome,192.168.30.240,http://example.com/referrer1,session_5759,11
2,12,2023-06-11,Home,44,Mobile,Chrome,192.168.31.134,http://example.com/referrer2,session_3898,15
3,21,2023-04-11,Profile,33,Tablet,Firefox,192.168.158.180,http://example.com/referrer3,session_6335,15
4,80,2023-12-03,Home,45,Mobile,Firefox,192.168.75.4,http://example.com/referrer4,session_7473,7
5,42,2023-09-19,Profile,84,Mobile,Firefox,192.168.172.210,http://example.com/referrer5,session_1383,17
6,41,2023-01-18,Profile,72,Mobile,Edge,192.168.221.34,http://example.com/referrer6,session_3294,17
7,61,2023-12-21,About,49,Desktop,Safari,192.168.121.101,http://example.com/referrer7,session_9677,18
8,30,2023-06-16,Home,85,Tablet,Firefox,192.168.220.182,http://example.com/referrer8,session_1334,19
9,13,2023-03-15,About,82,Tablet,Chrome,192.168.245.29,http://example.com/referrer9,session_5258,1
10,95,2023-02-23,Checkout,110,Mobile,Safari,192.168.191.212,http://example.com/referrer10,session_4844,18
11,50,2023-04-28,Profile,3,Desktop,Opera,192.168.74.223,http://example.com/referrer11,session_5614,6
12,4,2023-06-10,Home,43,Desktop,Safari,192.168.221.132,http://example.com/referrer12,session_1202,19
13,50,2023-02-22,Checkout,118,Mobile,Chrome,192.168.103.118,http://example.com/referrer13,session_4809,4
14,88,2023-12-07,Home,112,Desktop,Safari,192.168.50.229,http://example.com/referrer14,session_4390,18
15,50,2023-09-21,Home,93,Mobile,Firefox,192.168.126.142,http://example.com/referrer15,session_4807,7
16,96,2023-06-15,Help,84,Tablet,Safari,192.168.243.85,http://example.com/referrer16,session_7392,5
17,48,2023-07-07,Home,115,Desktop,Edge,192.168.198.233,http://example.com/referrer17,session_7391,4
18,75,2023-08-14,Product,118,Tablet,Opera,192.168.248.10,http://example.com/referrer18,session_1259,10
19,66,2023-09-16,Home,41,Tablet,Opera,192.168.60.111,http://example.com/referrer19,session_1109,15
20,25,2023-10-02,About,46,Desktop,Firefox,192.168.150.30,http://example.com/referrer20,session_8695,17
21,80,2023-02-02,Checkout,38,Mobile,Opera,192.168.112.239,http://example.com/referrer21,session_9795,7
22,51,2023-11-16,Checkout,114,Mobile,Opera,192.168.89.86,http://example.com/referrer22,session_6032,7
23,49,2023-02-17,Checkout,1,Tablet,Firefox,192.168.11.13,http://example.com/referrer23,session_7386,16
24,99,2023-06-10,Profile,60,Tablet,Firefox,192.168.74.47,http://example.com/referrer24,session_7978,1
25,86,2023-12-14,Product,90,Tablet,Firefox,192.168.92.1,http://example.com/referrer25,session_2885,5
26,29,2023-07-18,Product,35,Desktop,Opera,192.168.46.66,http://example.com/referrer26,session_9140,15
27,19,2023-11-22,Help,42,Desktop,Opera,192.168.132.119,http://example.com/referrer27,session_9724,19
28,74,2023-09-08,Profile,9,Desktop,Safari,192.168.38.196,http://example.com/referrer28,session_9514,15
29,93,2023-11-04,Product,19,Mobile,Opera,192.168.33.15,http://example.com/referrer29,session_6625,12
30,75,2023-10-10,About,50,Tablet,Chrome,192.168.21.222,http://example.com/referrer30,session_9842,19
31,42,2023-02-13,Help,1,Desktop,Edge,192.168.161.203,http://example.com/referrer31,session_5912,12
32,14,2023-11-06,Product,60,Tablet,Opera,192.168.90.167,http://example.com/referrer32,session_9576,15
33,87,2023-11-19,Help,83,Desktop,Edge,192.168.166.37,http://example.com/referrer33,session_2754,14
34,28,2023-11-13,Profile,107,Desktop,Firefox,192.168.251.243,http://example.com/referrer34,session_4239,5
35,53,2023-05-26,Help,33,Desktop,Edge,192.168.142.227,http://example.com/referrer35,session_6957,13
36,57,2023-06-09,Checkout,49,Desktop,Opera,192.168.123.242,http://example.com/referrer36,session_3228,5
37,92,2023-11-02,Help,67,Mobile,Chrome,192.168.21.12,http://example.com/referrer37,session_7248,16
38,10,2023-09-11,Home,115,Tablet,Firefox,192.168.156.5,http://example.com/referrer38,session_9684,14
39,79,2023-09-25,Checkout,75,Mobile,Edge,192.168.65.159,http://example.com/referrer39,session_3397,19
40,10,2023-06-19,Checkout,25,Mobile,Edge,192.168.2.103,http://example.com/referrer40,session_2774,4
41,2,2023-11-27,Profile,52,Desktop,Firefox,192.168.250.19,http://example.com/referrer41,session_5780,11
42,40,2023-11-09,Home,42,Tablet,Firefox,192.168.129.213,http://example.com/referrer42,session_8698,11
43,8,2023-04-01,About,39,Mobile,Firefox,192.168.45.111,http://example.com/referrer43,session_6466,16
44,14,2023-11-14,Product,39,Desktop,Safari,192.168.135.110,http://example.com/referrer44,session_4723,19
45,29,2023-05-10,Checkout,25,Desktop,Opera,192.168.155.181,http://example.com/referrer45,session_8479,1
46,22,2023-05-26,Product,11,Mobile,Firefox,192.168.190.13,http://example.com/referrer46,session_8326,11
47,49,2023-05-05,Help,100,Desktop,Edge,192.168.28.236,http://example.com/referrer47,session_3628,8
48,60,2023-01-01,About,93,Mobile,Chrome,192.168.189.215,http://example.com/referrer48,session_7609,11
49,53,2023-10-11,Profile,107,Desktop,Firefox,192.168.17.217,http://example.com/referrer49,session_8182,11
50,22,2023-12-12,Help,4,Tablet,Chrome,192.168.136.138,http://example.com/referrer50,session_5364,3
51,85,2023-02-12,Product,103,Mobile,Edge,192.168.93.83,http://example.com/referrer51,session_2704,16
52,30,2023-08-14,Checkout,77,Desktop,Safari,192.168.35.184,http://example.com/referrer52,session_3201,10
53,16,2023-10-11,Home,86,Tablet,Safari,192.168.81.204,http://example.com/referrer53,session_1599,8
54,32,2023-10-04,Product,81,Tablet,Opera,192.168.4.89,http://example.com/referrer54,session_9485,1
55,84,2023-11-26,Product,84,Mobile,Chrome,192.168.245.114,http://example.com/referrer55,session_6185,3
56,28,2023-01-22,Product,27,Mobile,Chrome,192.168.21.130,http://example.com/referrer56,session_2851,3
57,37,2023-09-22,About,60,Desktop,Edge,192.168.71.143,http://example.com/referrer57,session_6770,10
58,3,2023-04-02,Product,33,Desktop,Chrome,192.168.106.21,http://example.com/referrer58,session_3011,8
59,85,2023-09-02,Profile,54,Tablet,Firefox,192.168.228.191,http://example.com/referrer59,session_4289,19
60,64,2023-07-27,Home,100,Mobile,Chrome,192.168.82.170,http://example.com/referrer60,session_9947,6
61,89,2023-10-16,Profile,3,Desktop,Opera,192.168.249.29,http://example.com/referrer61,session_5626,19
62,46,2023-01-14,Home,115,Desktop,Firefox,192.168.17.198,http://example.com/referrer62,session_1438,7
